timestamp,model,accuracy,roc_auc,precision_fake,recall_fake,f1_fake,precision_real,recall_real,f1_real
2025-11-28T15:13:00,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-11-28T15:14:10,ANN (MLPClassifier),0.8842586867812539,0.956153471839447,0.884083044982699,0.8845202769535113,0.8843016069221261,0.8844345459044791,0.8839970319069997,0.88421573478476
2025-11-28T15:14:16,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-11-28T15:14:18,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-11-28T19:32:33,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-11-28T19:33:51,ANN (MLPClassifier),0.883516755286262,0.9559435010335237,0.882962962962963,0.884272997032641,0.8836174944403261,0.884072330938816,0.8827603264902301,0.8834158415841584
2025-11-28T19:33:57,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-11-28T19:33:59,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-11-28T19:41:31,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-11-28T19:42:16,ANN (MLPClassifier),0.8957586249536292,0.9663593496519731,0.8992267398353704,0.8914441147378833,0.8953185148391903,0.892349190779794,0.9000742023250062,0.8961950498707055
2025-11-28T19:42:21,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-11-28T19:42:23,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-12-09T23:47:09,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-12-09T23:47:52,ANN (MLPClassifier),0.8957586249536292,0.9663593496519731,0.8992267398353704,0.8914441147378833,0.8953185148391903,0.892349190779794,0.9000742023250062,0.8961950498707055
2025-12-09T23:47:58,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-12-09T23:48:00,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-12-09T23:48:30,Custom Length-Weighted LogReg,0.698652157784098,0.8442068608159613,0.6366264240775379,0.9258160237388724,0.7544584382871536,0.8640072529465095,0.47143210487261933,0.6100176028164507
2025-12-10T00:23:13,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-12-10T00:23:58,ANN (MLPClassifier),0.8957586249536292,0.9663593496519731,0.8992267398353704,0.8914441147378833,0.8953185148391903,0.892349190779794,0.9000742023250062,0.8961950498707055
2025-12-10T00:24:04,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-12-10T00:24:06,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-12-10T00:25:15,Custom Length-Weighted LogReg,0.5275132929392853,0.5496824076880753,0.5188631365251226,0.7584075173095944,0.6161727774987443,0.5510110294117647,0.29656195894138015,0.3855925389934073
2025-12-10T00:54:54,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-12-10T00:55:36,ANN (MLPClassifier),0.8957586249536292,0.9663593496519731,0.8992267398353704,0.8914441147378833,0.8953185148391903,0.892349190779794,0.9000742023250062,0.8961950498707055
2025-12-10T00:55:42,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-12-10T00:55:44,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-12-10T00:56:50,Custom Length-Weighted LogReg,0.532706813404229,0.5636203590824942,0.5219044470160357,0.7806627101879328,0.6255820865946695,0.5647693817468106,0.2846895869403908,0.3785561585265581
2025-12-10T01:03:23,Logistic Regression,0.8898231729936936,0.9558471701219798,0.9028878098645541,0.8736399604352126,0.8880231242930753,0.8775754671777671,0.9060103883255008,0.891566265060241
2025-12-10T01:04:08,ANN (MLPClassifier),0.8957586249536292,0.9663593496519731,0.8992267398353704,0.8914441147378833,0.8953185148391903,0.892349190779794,0.9000742023250062,0.8961950498707055
2025-12-10T01:04:14,Logistic Regression + Review Meta-Features,0.842339557314208,0.9192770203008069,0.8502403238047053,0.8311078140454995,0.840565211954483,0.8347847121432027,0.8535740786544646,0.8440748440748441
2025-12-10T01:04:16,Linear SVM,0.8981080746877705,0.9636125425171005,0.9069767441860465,0.887240356083086,0.897,0.8896151053013798,0.9089784813257482,0.8991925617812576
2025-12-10T01:04:46,Custom Length-Weighted LogReg,0.698652157784098,0.8442068608159613,0.6366264240775379,0.9258160237388724,0.7544584382871536,0.8640072529465095,0.47143210487261933,0.6100176028164507
2025-12-10T02:58:23,Logistic Regression,0.7578680516910901,0.8443530535062655,0.763620275565668,0.7470013602077408,0.7552194024253032,0.7523602033405955,0.7687360870640614,0.760459995106435
2025-12-10T02:59:47,ANN (MLPClassifier),0.7621344215668089,0.8620931010555779,0.7534672405547584,0.7792753802398912,0.7661540331894717,0.771417595082597,0.7449913430620826,0.7579742057250708
2025-12-10T03:00:01,Logistic Regression + Review Meta-Features,0.7104433314783899,0.7801524363677826,0.7234768907563025,0.6813404229009521,0.7017767305610393,0.6988430524716607,0.7395498392282959,0.7186204410262573
2025-12-10T03:00:06,Linear SVM,0.7463674024608916,0.8307367846472725,0.7477925631140405,0.7435390132311117,0.7456597222222222,0.7449581898671913,0.7491961414790996,0.7470711555062276
2025-12-10T03:01:11,Custom Length-Weighted LogReg,0.6614728250788351,0.7490250259200426,0.6254081044747455,0.8053666378137752,0.7040700502675531,0.7266886612259073,0.5175612169181301,0.6045503791982665
